#REFERENCE 3 0.0000000 0.0000000
2a 4.3314355 -7.7301024 0.470 0.454 31.97 1.0000 0.57 
2b 4.3246758 -7.7093935 0.470 0.467 51.81 1.0000 2.33 
2c 4.3212348 -7.7055129 0.469 0.468 84.74 1.0000 1.37 
3a -2.7538999 0.0436441 0.795 0.215 179.58 2.0000 2.26 
3b -2.7609138 0.0308255 0.794 0.214 179.99 2.0000 0.94 
3c -2.7683084 0.0343082 0.789 0.217 179.87 2.0000 2.52 
3d -2.7596778 0.0323442 0.793 0.217 0.05 2.0000 2.06 
