#REFERENCE 3 0.000000 0.000000
0 -50.000000 -50.000000 0.7616 0.0000   45.64 0.0 0.0
1 -45.833333 -50.000000 0.7823 0.0000   47.91 0.0 0.0
2 -41.666667 -50.000000 0.8029 0.0000   50.34 0.0 0.0
3 -37.500000 -50.000000 0.8234 0.0000   52.95 0.0 0.0
4 -33.333333 -50.000000 0.8440 0.0000   55.80 0.0 0.0
5 -29.166667 -50.000000 0.8644 0.0000   59.00 0.0 0.0
6 -25.000000 -50.000000 0.8828 0.0000   62.67 0.0 0.0
7 -20.833333 -50.000000 0.8941 0.0000   66.83 0.0 0.0
8 -16.666667 -50.000000 0.8919 0.0000   70.52 0.0 0.0
9 -12.500000 -50.000000 0.8965 0.0000   72.97 0.0 0.0
10 -8.333333 -50.000000 0.9316 0.0000   75.25 0.0 0.0
11 -4.166667 -50.000000 0.9852 0.0000   80.37 0.0 0.0
12 0.000000 -50.000000 0.9926 0.0000   90.66 0.0 0.0
13 4.166667 -50.000000 0.9643 0.0000   98.90 0.0 0.0
14 8.333333 -50.000000 0.9260 0.0000  103.19 0.0 0.0
15 12.500000 -50.000000 0.9039 0.0000  106.20 0.0 0.0
16 16.666667 -50.000000 0.8941 0.0000  109.34 0.0 0.0
17 20.833333 -50.000000 0.8875 0.0000  112.80 0.0 0.0
18 25.000000 -50.000000 0.8791 0.0000  116.39 0.0 0.0
19 29.166667 -50.000000 0.8672 0.0000  119.93 0.0 0.0
20 33.333333 -50.000000 0.8520 0.0000  123.26 0.0 0.0
21 37.500000 -50.000000 0.8341 0.0000  126.35 0.0 0.0
22 41.666667 -50.000000 0.8146 0.0000  129.19 0.0 0.0
23 45.833333 -50.000000 0.7938 0.0000  131.80 0.0 0.0
24 50.000000 -50.000000 0.7722 0.0000  134.21 0.0 0.0
0 -50.000000 -45.833333 0.7921 0.0000   43.08 0.0 0.0
1 -45.833333 -45.833333 0.8145 0.0000   45.30 0.0 0.0
2 -41.666667 -45.833333 0.8366 0.0000   47.69 0.0 0.0
3 -37.500000 -45.833333 0.8586 0.0000   50.24 0.0 0.0
4 -33.333333 -45.833333 0.8814 0.0000   53.00 0.0 0.0
5 -29.166667 -45.833333 0.9058 0.0000   56.15 0.0 0.0
6 -25.000000 -45.833333 0.9305 0.0000   60.21 0.0 0.0
7 -20.833333 -45.833333 0.9442 0.0000   65.89 0.0 0.0
8 -16.666667 -45.833333 0.9157 0.0000   70.36 0.0 0.0
9 -12.500000 -45.833333 0.8951 0.0000   71.22 0.0 0.0
10 -8.333333 -45.833333 0.9250 0.0000   70.32 0.0 0.0
11 -4.166667 -45.833333 0.9958 0.0000   71.24 0.0 0.0
12 0.000000 -45.833333 0.8977 0.0000   91.60 0.0 0.0
13 4.166667 -45.833333 0.9946 0.0000  105.91 0.0 0.0
14 8.333333 -45.833333 0.9368 0.0000  106.96 0.0 0.0
15 12.500000 -45.833333 0.9224 0.0000  107.90 0.0 0.0
16 16.666667 -45.833333 0.9247 0.0000  110.59 0.0 0.0
17 20.833333 -45.833333 0.9258 0.0000  114.24 0.0 0.0
18 25.000000 -45.833333 0.9209 0.0000  118.23 0.0 0.0
19 29.166667 -45.833333 0.9095 0.0000  122.13 0.0 0.0
20 33.333333 -45.833333 0.8930 0.0000  125.70 0.0 0.0
21 37.500000 -45.833333 0.8733 0.0000  128.90 0.0 0.0
22 41.666667 -45.833333 0.8516 0.0000  131.79 0.0 0.0
23 45.833333 -45.833333 0.8288 0.0000  134.41 0.0 0.0
24 50.000000 -45.833333 0.8051 0.0000  136.81 0.0 0.0
0 -50.000000 -41.666667 0.8230 0.0000   40.32 0.0 0.0
1 -45.833333 -41.666667 0.8467 0.0000   42.49 0.0 0.0
2 -41.666667 -41.666667 0.8697 0.0000   44.80 0.0 0.0
3 -37.500000 -41.666667 0.8922 0.0000   47.22 0.0 0.0
