chi multiples
 N    ID    z   Narcs    chip    chix    chiy    chia   rmss     rmsi    dx      dy    nwarn
16   57.2 1.750   1      1.52    0.00    0.00    0.00   0.267    2.22   -0.92   -2.02  0
16   57.1 1.750   1      0.83    0.00    0.00    0.00   0.267    1.64    0.54    1.55  0
16   57.2 1.750   2      2.35    0.00    0.00    0.00   0.267    1.95    N/A     N/A   0
17   56.3 2.900   1     49.87    0.00    0.00    0.00   7.806   12.71   -4.96  -11.70  0
17   56.2 2.900   1      0.00    0.00    0.00    0.00   3.028    0.00   -0.00    0.00  0
17   56.1 2.900   1      0.00    0.00    0.00    0.00   5.533    0.00   -0.00    0.00  0
17   56.3 2.900   3     49.87    0.00    0.00    0.00  10.035   12.71    N/A     N/A   2
18   55.3 2.400   1     38.55    0.00    0.00    0.00   6.957   11.18   -1.75  -11.04  0
18   55.2 2.400   1      0.00    0.00    0.00    0.00   4.898    0.00   -0.00    0.00  0
18   55.1 2.400   1      0.00    0.00    0.00    0.00   2.352    0.00   -0.00    0.00  0
18   55.3 2.400   3     38.55    0.00    0.00    0.00   8.827   11.18    N/A     N/A   2
19   52.3 3.200   1     28.55    0.00    0.00    0.00   5.779    9.62   -5.21    8.08  0
19   52.2 3.200   1     16.96    0.00    0.00    0.00   2.419    7.41    6.30    3.90  0
19   52.1 3.200   1     10.71    0.00    0.00    0.00   3.575    5.89    4.14   -4.19  0
19   52.3 3.200   3     56.22    0.00    0.00    0.00   4.164    7.79    N/A     N/A   0
20   50.2 3.800   1      2.82    0.00    0.00    0.00   1.835    3.02    0.06   -3.02  0
20   50.1 3.800   1      2.97    0.00    0.00    0.00   1.835    3.10   -2.99    0.83  0
20   50.2 3.800   2      5.79    0.00    0.00    0.00   1.835    3.06    N/A     N/A   0
21   49.2 3.800   1     68.24    0.00    0.00    0.00   3.547   14.87   14.32    4.00  0
21   49.1 3.800   1     68.73    0.00    0.00    0.00   3.547   14.92  -14.06   -5.00  0
21   49.2 3.800   2    136.97    0.00    0.00    0.00   3.547   14.90    N/A     N/A   0
22   45.3 2.700   1     77.72    0.00    0.00    0.00  12.313   15.87   -9.35  -12.82  0
22   45.2 2.700   1      0.00    0.00    0.00    0.00   6.607    0.00   -0.00    0.00  0
22   45.1 2.700   1      0.00    0.00    0.00    0.00   5.729    0.00   -0.00    0.00  0
22   45.3 2.700   3     77.72    0.00    0.00    0.00  15.103   15.87    N/A     N/A   2
23   39.2 3.850   1      6.26    0.00    0.00    0.00   1.132    4.50   -3.75   -2.50  0
23   39.1 3.850   1      6.05    0.00    0.00    0.00   1.132    4.43    3.88    2.13  0
23   39.2 3.850   2     12.31    0.00    0.00    0.00   1.132    4.47    N/A     N/A   0
24   37.2 3.300   1      0.00    0.00    0.00    0.00   0.229    0.00   -0.00    0.00  0
24   37.1 3.300   1      0.00    0.00    0.00    0.00   0.229    0.00   -0.00    0.00  0
24   37.2 3.300   2      0.00    0.00    0.00    0.00   0.324    0.00    N/A     N/A   2
25   36.3 3.000   1     21.50    0.00    0.00    0.00   4.126    8.35   -7.60    3.45  0
25   36.2 3.000   1      7.80    0.00    0.00    0.00   3.005    5.03    4.99    0.62  0
25   36.1 3.000   1      6.26    0.00    0.00    0.00   2.249    4.50    4.15    1.74  0
25   36.3 3.000   3     35.56    0.00    0.00    0.00   3.220    6.20    N/A     N/A   0
26   34.3 3.000   1      0.00    0.00    0.00    0.00   4.893    0.00   -0.00    0.00  0
26   34.2 3.000   1      0.00    0.00    0.00    0.00   3.258    0.00   -0.00    0.00  0
26   34.1 3.000   1     48.17    0.00    0.00    0.00   7.688   12.49   -3.89  -11.87  0
26   34.3 3.000   3     48.17    0.00    0.00    0.00   9.678   12.49    N/A     N/A   2
27   33.3 3.600   1     65.83    0.00    0.00    0.00   7.862   14.60   -4.63   13.85  0
27   33.2 3.600   1    101.12    0.00    0.00    0.00   7.265   18.10   -2.69  -17.90  0
27   33.1 3.600   1     11.90    0.00    0.00    0.00   2.104    6.21    5.31    3.22  0
27   33.3 3.600   3    178.86    0.00    0.00    0.00   6.299   13.90    N/A     N/A   0
28   32.3 2.750   1     45.55    0.00    0.00    0.00   4.849   12.15    0.10   12.15  0
28   32.2 2.750   1     23.67    0.00    0.00    0.00   5.337    8.76   -0.97   -8.70  0
28   32.1 2.750   1      5.24    0.00    0.00    0.00   1.894    4.12   -0.78   -4.05  0
28   32.3 2.750   3     74.45    0.00    0.00    0.00   4.304    8.97    N/A     N/A   0
29   31.3 1.800   1     17.40    0.00    0.00    0.00   4.169    7.51    0.02   -7.51  0
29   31.2 1.800   1     35.40    0.00    0.00    0.00   2.595   10.71    2.52   10.41  0
29   31.1 1.800   1      4.24    0.00    0.00    0.00   1.773    3.71   -3.41   -1.44  0
29   31.3 1.800   3     57.05    0.00    0.00    0.00   3.014    7.85    N/A     N/A   0
30   29.2 1.800   1     10.68    0.00    0.00    0.00   1.574    5.88    5.11    2.91  0
30   29.1 1.800   1     10.16    0.00    0.00    0.00   1.574    5.74    1.58    5.52  0
30   29.2 1.800   2     20.84    0.00    0.00    0.00   1.574    5.81    N/A     N/A   0
31   27.2 2.800   1      0.21    0.00    0.00    0.00   0.035    0.82   -0.32    0.76  0
31   27.1 2.800   1      0.05    0.00    0.00    0.00   0.035    0.41    0.17   -0.38  0
31   27.2 2.800   2      0.26    0.00    0.00    0.00   0.035    0.65    N/A     N/A   0
32   25.3 3.450   1     91.48    0.00    0.00    0.00  13.688   17.22   -8.22  -15.13  0
32   25.2 3.450   1      0.00    0.00    0.00    0.00   6.549    0.00   -0.00    0.00  0
32   25.1 3.450   1      0.00    0.00    0.00    0.00   7.140    0.00   -0.00    0.00  0
32   25.3 3.450   3     91.48    0.00    0.00    0.00  16.770   17.22    N/A     N/A   2
33   20.2 2.800   1      0.78    0.00    0.00    0.00   0.264    1.59    1.25    0.98  0
33   20.1 2.800   1      0.57    0.00    0.00    0.00   0.264    1.36   -1.08   -0.82  0
33   20.2 2.800   2      1.35    0.00    0.00    0.00   0.264    1.48    N/A     N/A   0
34   18.2 3.000   1      5.38    0.00    0.00    0.00   1.107    4.17    2.37    3.44  0
34   18.1 3.000   1     13.47    0.00    0.00    0.00   1.107    6.61    2.50    6.11  0
34   18.2 3.000   2     18.85    0.00    0.00    0.00   1.107    5.53    N/A     N/A   0
35   17.1 2.950   1     10.54    0.00    0.00    0.00   3.601    5.84    3.89   -4.36  0
35   17.2 2.950   1      3.70    0.00    0.00    0.00   1.343    3.46    3.37   -0.81  0
35   17.3 2.950   1     19.10    0.00    0.00    0.00   4.712    7.87   -3.30    7.14  0
35   17.1 2.950   3     33.34    0.00    0.00    0.00   3.511    6.00    N/A     N/A   0
36   16.3 3.550   1     21.85    0.00    0.00    0.00   4.964    8.41   -4.32    7.22  0
36   16.2 3.550   1      5.84    0.00    0.00    0.00   1.920    4.35    4.19    1.18  0
36   16.1 3.550   1      9.58    0.00    0.00    0.00   3.250    5.57    4.18   -3.68  0
36   16.3 3.550   3     37.26    0.00    0.00    0.00   3.600    6.34    N/A     N/A   0
37    8.3 2.750   1     35.00    0.00    0.00    0.00   6.492   10.65   -6.09    8.74  0
37    8.2 2.750   1     24.17    0.00    0.00    0.00   3.239    8.85    7.29    5.01  0
37    8.1 2.750   1     13.92    0.00    0.00    0.00   3.300    6.71    1.58   -6.53  0
37    8.3 2.750   3     73.09    0.00    0.00    0.00   4.602    8.88    N/A     N/A   0
38    7.3 2.750   1     25.49    0.00    0.00    0.00   5.731    9.09   -7.57    5.03  0
38    7.2 2.750   1      7.30    0.00    0.00    0.00   2.626    4.86    4.64    1.46  0
38    7.1 2.750   1      8.02    0.00    0.00    0.00   3.135    5.10    5.09    0.29  0
38    7.3 2.750   3     40.81    0.00    0.00    0.00   4.065    6.64    N/A     N/A   0
39    5.3 4.100   1     75.96    0.00    0.00    0.00  11.890   15.69   -5.48  -14.70  0
39    5.1 4.100   1      0.00    0.00    0.00    0.00   6.313    0.00   -0.00    0.00  0
39    5.2 4.100   1      0.00    0.00    0.00    0.00   5.684    0.00   -0.00    0.00  0
39    5.3 4.100   3     75.96    0.00    0.00    0.00  14.612   15.69    N/A     N/A   2
40    2.2 3.000   1      9.84    0.00    0.00    0.00   0.370    5.65    4.28    3.69  0
40    2.1 3.000   1      4.33    0.00    0.00    0.00   0.370    3.75   -2.50   -2.79  0
40    2.2 3.000   2     14.17    0.00    0.00    0.00   0.370    4.79    N/A     N/A   0
41   12.3 1.699   1    101.04    0.00    0.00    0.00   7.780   18.09   -6.81  -16.76  0
41   12.2 1.699   1      0.00    0.00    0.00    0.00   5.292    0.00   -0.00    0.00  0
41   12.1 1.699   1    101.11    0.00    0.00    0.00   2.730   18.10   10.41   14.81  0
41   12.3 1.699   3    202.15    0.00    0.00    0.00   6.928   18.10    N/A     N/A   1
42   14.3 1.855   1    122.10    0.00    0.00    0.00   8.942   19.89  -10.46  -16.92  0
42   14.2 1.855   1      0.00    0.00    0.00    0.00   5.710    0.00   -0.00    0.00  0
42   14.1 1.855   1     81.27    0.00    0.00    0.00   3.534   16.23   10.55   12.33  0
42   14.3 1.855   3    203.36    0.00    0.00    0.00   7.907   18.15    N/A     N/A   1
43    4.3 1.855   1     88.45    0.00    0.00    0.00   8.876   16.93   -5.71  -15.94  0
43    4.2 1.855   1      0.00    0.00    0.00    0.00   5.519    0.00   -0.00    0.00  0
43    4.1 1.855   1      0.00    0.00    0.00    0.00   3.556    0.00   -0.00    0.00  0
43    4.3 1.855   3     88.45    0.00    0.00    0.00  11.040   16.93    N/A     N/A   2
44    3.3 1.855   1     50.35    0.00    0.00    0.00   8.283   12.77   -8.49   -9.55  0
44    3.2 1.855   1      0.00    0.00    0.00    0.00   5.310    0.00   -0.00    0.00  0
44    3.1 1.855   1      0.00    0.00    0.00    0.00   2.972    0.00   -0.00    0.00  0
44    3.3 1.855   3     50.35    0.00    0.00    0.00  10.278   12.77    N/A     N/A   2
45    6.3 2.393   1     13.99    0.00    0.00    0.00   4.201    6.73    1.68   -6.52  0
45    6.2 2.393   1      0.00    0.00    0.00    0.00   3.812    0.00   -0.00    0.00  0
45    6.1 2.393   1      0.00    0.00    0.00    0.00   0.392    0.00   -0.00    0.00  0
45    6.3 2.393   3     13.99    0.00    0.00    0.00   5.686    6.73    N/A     N/A   2
46   15.3 2.405   1     23.53    0.00    0.00    0.00   4.830    8.73   -1.44    8.61  0
46   15.2 2.405   1      5.19    0.00    0.00    0.00   1.540    4.10    3.87    1.37  0
46   15.1 2.405   1     12.72    0.00    0.00    0.00   3.290    6.42    1.19   -6.31  0
46   15.3 2.405   3     41.44    0.00    0.00    0.00   3.489    6.69    N/A     N/A   0
47   13.3 2.547   1     94.79    0.00    0.00    0.00  10.265   17.52   -7.34  -15.91  0
47   13.2 2.547   1      0.00    0.00    0.00    0.00   5.579    0.00   -0.00    0.00  0
47   13.1 2.547   1      0.00    0.00    0.00    0.00   5.040    0.00   -0.00    0.00  0
47   13.3 2.547   3     94.79    0.00    0.00    0.00  12.725   17.52    N/A     N/A   2
48    1.5 2.963   1    105.88    0.00    0.00    0.00  14.098   18.52  -10.09  -15.53  0
48    1.4 2.963   1      0.00    0.00    0.00    0.00   5.401    0.00   -0.00    0.00  0
48    1.3 2.963   1      0.00    0.00    0.00    0.00   3.984    0.00   -0.00    0.00  0
48    1.2 2.963   1      0.00    0.00    0.00    0.00   2.784    0.00   -0.00    0.00  0
48    1.1 2.963   1      0.00    0.00    0.00    0.00   2.185    0.00   -0.00    0.00  0
48    1.5 2.963   5    105.88    0.00    0.00    0.00  16.010   18.52    N/A     N/A   4
49   68.2 5.510   1     13.20    0.00    0.00    0.00   1.028    6.54    6.47   -0.92  0
49   68.1 5.510   1    161.92    0.00    0.00    0.00   1.028   22.90  -21.94   -6.59  0
49   68.2 5.510   2    175.13    0.00    0.00    0.00   1.028   16.84    N/A     N/A   0
50   19.3 6.400   1    349.37    0.00    0.00    0.00   8.747   33.64   32.81    7.46  0
50   19.2 6.400   1    131.89    0.00    0.00    0.00   3.268   20.67   -0.01   20.67  0
50   19.1 6.400   1    158.30    0.00    0.00    0.00   8.015   22.65   -3.80  -22.33  0
50   19.3 6.400   3    639.55    0.00    0.00    0.00   7.105   26.28    N/A     N/A   0
chimul                3594.51    0.00    0.00    0.00   6.376   10.96    N/A     N/A   40
log(Likelihood)       -2210.10

chitot           3594.51
log(Likelihood)    -2210.10
