chi multiples
 N    ID    z   Narcs   chip    chix    chiy    chia  rmss  rmsi
 0     a3 0.800   3     -0.68    0.00    0.00    0.00  0.06  0.13
 1     b4 1.000   4      2.19    0.00    0.00    0.00  0.16  0.19
 2     c3 1.500   3     -0.16    0.00    0.00    0.00  0.09  0.19
chimul                   1.35    0.00    0.00    0.00  0.12  0.17

chitot 1.35
