#REFERENCE 3 133.693580 -1.360320
0 -50.000000 -50.000000 0.1936 0.0000   43.33 0.0 0.0
1 -45.833333 -50.000000 0.2022 0.0000   45.62 0.0 0.0
2 -41.666667 -50.000000 0.2116 0.0000   48.14 0.0 0.0
3 -37.500000 -50.000000 0.2218 0.0000   50.91 0.0 0.0
4 -33.333333 -50.000000 0.2329 0.0000   53.95 0.0 0.0
5 -29.166667 -50.000000 0.2452 0.0000   57.28 0.0 0.0
6 -25.000000 -50.000000 0.2588 0.0000   60.91 0.0 0.0
7 -20.833333 -50.000000 0.2740 0.0000   64.84 0.0 0.0
8 -16.666667 -50.000000 0.2910 0.0000   69.07 0.0 0.0
9 -12.500000 -50.000000 0.3102 0.0000   73.58 0.0 0.0
10 -8.333333 -50.000000 0.3315 0.0000   78.32 0.0 0.0
11 -4.166667 -50.000000 0.3549 0.0000   83.24 0.0 0.0
12 0.000000 -50.000000 0.3800 0.0000   88.25 0.0 0.0
13 4.166667 -50.000000 0.4055 0.0000   93.29 0.0 0.0
14 8.333333 -50.000000 0.4296 0.0000   98.26 0.0 0.0
15 12.500000 -50.000000 0.4495 0.0000  103.10 0.0 0.0
16 16.666667 -50.000000 0.4627 0.0000  107.75 0.0 0.0
17 20.833333 -50.000000 0.4669 0.0000  112.17 0.0 0.0
18 25.000000 -50.000000 0.4614 0.0000  116.34 0.0 0.0
19 29.166667 -50.000000 0.4469 0.0000  120.25 0.0 0.0
20 33.333333 -50.000000 0.4258 0.0000  123.90 0.0 0.0
21 37.500000 -50.000000 0.4005 0.0000  127.31 0.0 0.0
22 41.666667 -50.000000 0.3736 0.0000  130.47 0.0 0.0
23 45.833333 -50.000000 0.3469 0.0000  133.41 0.0 0.0
24 50.000000 -50.000000 0.3214 0.0000  136.14 0.0 0.0
0 -50.000000 -45.833333 0.2003 0.0000   41.14 0.0 0.0
1 -45.833333 -45.833333 0.2098 0.0000   43.42 0.0 0.0
2 -41.666667 -45.833333 0.2202 0.0000   45.95 0.0 0.0
3 -37.500000 -45.833333 0.2315 0.0000   48.75 0.0 0.0
4 -33.333333 -45.833333 0.2439 0.0000   51.85 0.0 0.0
5 -29.166667 -45.833333 0.2578 0.0000   55.28 0.0 0.0
6 -25.000000 -45.833333 0.2732 0.0000   59.06 0.0 0.0
7 -20.833333 -45.833333 0.2907 0.0000   63.19 0.0 0.0
8 -16.666667 -45.833333 0.3104 0.0000   67.68 0.0 0.0
9 -12.500000 -45.833333 0.3329 0.0000   72.51 0.0 0.0
10 -8.333333 -45.833333 0.3583 0.0000   77.62 0.0 0.0
11 -4.166667 -45.833333 0.3867 0.0000   82.95 0.0 0.0
12 0.000000 -45.833333 0.4172 0.0000   88.40 0.0 0.0
13 4.166667 -45.833333 0.4483 0.0000   93.87 0.0 0.0
14 8.333333 -45.833333 0.4771 0.0000   99.26 0.0 0.0
15 12.500000 -45.833333 0.4998 0.0000  104.47 0.0 0.0
16 16.666667 -45.833333 0.5127 0.0000  109.44 0.0 0.0
17 20.833333 -45.833333 0.5132 0.0000  114.13 0.0 0.0
18 25.000000 -45.833333 0.5012 0.0000  118.51 0.0 0.0
19 29.166667 -45.833333 0.4790 0.0000  122.59 0.0 0.0
20 33.333333 -45.833333 0.4500 0.0000  126.37 0.0 0.0
21 37.500000 -45.833333 0.4180 0.0000  129.86 0.0 0.0
22 41.666667 -45.833333 0.3857 0.0000  133.08 0.0 0.0
23 45.833333 -45.833333 0.3549 0.0000  136.05 0.0 0.0
24 50.000000 -45.833333 0.3266 0.0000  138.79 0.0 0.0
0 -50.000000 -41.666667 0.2073 0.0000   38.75 0.0 0.0
1 -45.833333 -41.666667 0.2177 0.0000   41.01 0.0 0.0
2 -41.666667 -41.666667 0.2291 0.0000   43.52 0.0 0.0
3 -37.500000 -41.666667 0.2417 0.0000   46.34 0.0 0.0
4 -33.333333 -41.666667 0.2557 0.0000   49.48 0.0 0.0
5 -29.166667 -41.666667 0.2713 0.0000   53.00 0.0 0.0
6 -25.000000 -41.666667 0.2889 0.0000   56.92 0.0 0.0
7 -20.833333 -41.666667 0.3090 0.0000   61.26 0.0 0.0
8 -16.666667 -41.666667 0.3320 0.0000   66.04 0.0 0.0
9 -12.500000 -41.666667 0.3587 0.0000   71.22 0.0 0.0
10 -8.333333 -41.666667 0.3894 0.0000   76.77 0.0 0.0
11 -4.166667 -41.666667 0.4241 0.0000   82.59 0.0 0.0
12 0.000000 -41.666667 0.4619 0.0000   88.56 0.0 0.0
13 4.166667 -41.666667 0.5003 0.0000   94.55 0.0 0.0
