#REFERENCE 0 133.6935800 -1.3603200
a 133.6963306 -1.3601173 0.105 0.086 164.95 0.8000 -1.36 
b 133.6935357 -1.3600834 0.091 0.041 113.86 1.0000 0.05 
b 133.6922364 -1.3618563 0.111 0.076 50.52 1.0000 -0.81 
b 133.6941362 -1.3587325 0.110 0.076 138.77 1.0000 -0.81 
b 133.6910450 -1.3591539 0.135 0.104 80.42 1.0000 -1.38 
b 133.6966315 -1.3623071 0.103 0.092 35.53 1.0000 -0.95 
c 133.6953170 -1.3639975 0.272 0.048 163.83 1.5000 -1.42 
c 133.6921532 -1.3638703 0.213 0.048 30.95 1.5000 -1.16 
c 133.6890459 -1.3599879 0.102 0.090 171.64 1.5000 -1.06 
