#REFERENCE 3 133.693580 -1.360320
0 -50.000000 -50.000000 0.1900 0.0000   43.05 0.0 0.0
1 -45.833333 -50.000000 0.1983 0.0000   45.31 0.0 0.0
2 -41.666667 -50.000000 0.2072 0.0000   47.81 0.0 0.0
3 -37.500000 -50.000000 0.2170 0.0000   50.55 0.0 0.0
4 -33.333333 -50.000000 0.2277 0.0000   53.58 0.0 0.0
5 -29.166667 -50.000000 0.2396 0.0000   56.89 0.0 0.0
6 -25.000000 -50.000000 0.2529 0.0000   60.52 0.0 0.0
7 -20.833333 -50.000000 0.2679 0.0000   64.46 0.0 0.0
8 -16.666667 -50.000000 0.2850 0.0000   68.71 0.0 0.0
9 -12.500000 -50.000000 0.3046 0.0000   73.25 0.0 0.0
10 -8.333333 -50.000000 0.3271 0.0000   78.03 0.0 0.0
11 -4.166667 -50.000000 0.3525 0.0000   83.00 0.0 0.0
12 0.000000 -50.000000 0.3805 0.0000   88.07 0.0 0.0
13 4.166667 -50.000000 0.4101 0.0000   93.15 0.0 0.0
14 8.333333 -50.000000 0.4393 0.0000   98.17 0.0 0.0
15 12.500000 -50.000000 0.4648 0.0000  103.05 0.0 0.0
16 16.666667 -50.000000 0.4832 0.0000  107.73 0.0 0.0
17 20.833333 -50.000000 0.4911 0.0000  112.17 0.0 0.0
18 25.000000 -50.000000 0.4870 0.0000  116.35 0.0 0.0
19 29.166667 -50.000000 0.4719 0.0000  120.27 0.0 0.0
20 33.333333 -50.000000 0.4482 0.0000  123.94 0.0 0.0
21 37.500000 -50.000000 0.4195 0.0000  127.37 0.0 0.0
22 41.666667 -50.000000 0.3888 0.0000  130.56 0.0 0.0
23 45.833333 -50.000000 0.3586 0.0000  133.53 0.0 0.0
24 50.000000 -50.000000 0.3301 0.0000  136.29 0.0 0.0
0 -50.000000 -45.833333 0.1964 0.0000   40.90 0.0 0.0
1 -45.833333 -45.833333 0.2054 0.0000   43.15 0.0 0.0
2 -41.666667 -45.833333 0.2153 0.0000   45.65 0.0 0.0
3 -37.500000 -45.833333 0.2260 0.0000   48.43 0.0 0.0
4 -33.333333 -45.833333 0.2379 0.0000   51.51 0.0 0.0
5 -29.166667 -45.833333 0.2512 0.0000   54.92 0.0 0.0
6 -25.000000 -45.833333 0.2662 0.0000   58.69 0.0 0.0
7 -20.833333 -45.833333 0.2833 0.0000   62.83 0.0 0.0
8 -16.666667 -45.833333 0.3031 0.0000   67.34 0.0 0.0
9 -12.500000 -45.833333 0.3260 0.0000   72.20 0.0 0.0
10 -8.333333 -45.833333 0.3527 0.0000   77.35 0.0 0.0
11 -4.166667 -45.833333 0.3833 0.0000   82.73 0.0 0.0
12 0.000000 -45.833333 0.4174 0.0000   88.24 0.0 0.0
13 4.166667 -45.833333 0.4536 0.0000   93.76 0.0 0.0
14 8.333333 -45.833333 0.4886 0.0000   99.19 0.0 0.0
15 12.500000 -45.833333 0.5180 0.0000  104.44 0.0 0.0
16 16.666667 -45.833333 0.5366 0.0000  109.43 0.0 0.0
17 20.833333 -45.833333 0.5405 0.0000  114.13 0.0 0.0
18 25.000000 -45.833333 0.5291 0.0000  118.53 0.0 0.0
19 29.166667 -45.833333 0.5047 0.0000  122.62 0.0 0.0
20 33.333333 -45.833333 0.4719 0.0000  126.42 0.0 0.0
21 37.500000 -45.833333 0.4354 0.0000  129.93 0.0 0.0
22 41.666667 -45.833333 0.3989 0.0000  133.18 0.0 0.0
23 45.833333 -45.833333 0.3645 0.0000  136.18 0.0 0.0
24 50.000000 -45.833333 0.3333 0.0000  138.96 0.0 0.0
0 -50.000000 -41.666667 0.2030 0.0000   38.56 0.0 0.0
1 -45.833333 -41.666667 0.2128 0.0000   40.78 0.0 0.0
2 -41.666667 -41.666667 0.2236 0.0000   43.26 0.0 0.0
3 -37.500000 -41.666667 0.2356 0.0000   46.05 0.0 0.0
4 -33.333333 -41.666667 0.2488 0.0000   49.17 0.0 0.0
5 -29.166667 -41.666667 0.2637 0.0000   52.67 0.0 0.0
6 -25.000000 -41.666667 0.2806 0.0000   56.58 0.0 0.0
7 -20.833333 -41.666667 0.3002 0.0000   60.93 0.0 0.0
8 -16.666667 -41.666667 0.3231 0.0000   65.72 0.0 0.0
9 -12.500000 -41.666667 0.3501 0.0000   70.94 0.0 0.0
10 -8.333333 -41.666667 0.3821 0.0000   76.53 0.0 0.0
11 -4.166667 -41.666667 0.4194 0.0000   82.40 0.0 0.0
12 0.000000 -41.666667 0.4616 0.0000   88.42 0.0 0.0
13 4.166667 -41.666667 0.5063 0.0000   94.46 0.0 0.0
14 8.333333 -41.666667 0.5488 0.0000  100.37 0.0 0.0
15 12.500000 -41.666667 0.5820 0.0000  106.05 0.0 0.0
16 16.666667 -41.666667 0.5988 0.0000  111.40 0.0 0.0
17 20.833333 -41.666667 0.5954 0.0000  116.39 0.0 0.0
18 25.000000 -41.666667 0.5728 0.0000  121.02 0.0 0.0
19 29.166667 -41.666667 0.5363 0.0000  125.28 0.0 0.0
20 33.333333 -41.666667 0.4929 0.0000  129.19 0.0 0.0
21 37.500000 -41.666667 0.4482 0.0000  132.78 0.0 0.0
22 41.666667 -41.666667 0.4059 0.0000  136.07 0.0 0.0
