#REFERENCE 3 133.693580 -1.360320
0 -50.000000 -50.000000 0.1900 0.0000   43.05 0.0 0.0
1 -45.833333 -50.000000 0.1982 0.0000   45.32 0.0 0.0
2 -41.666667 -50.000000 0.2072 0.0000   47.81 0.0 0.0
3 -37.500000 -50.000000 0.2169 0.0000   50.56 0.0 0.0
4 -33.333333 -50.000000 0.2277 0.0000   53.58 0.0 0.0
5 -29.166667 -50.000000 0.2395 0.0000   56.89 0.0 0.0
6 -25.000000 -50.000000 0.2528 0.0000   60.52 0.0 0.0
7 -20.833333 -50.000000 0.2678 0.0000   64.46 0.0 0.0
8 -16.666667 -50.000000 0.2849 0.0000   68.71 0.0 0.0
9 -12.500000 -50.000000 0.3045 0.0000   73.25 0.0 0.0
10 -8.333333 -50.000000 0.3269 0.0000   78.03 0.0 0.0
11 -4.166667 -50.000000 0.3523 0.0000   82.99 0.0 0.0
12 0.000000 -50.000000 0.3803 0.0000   88.06 0.0 0.0
13 4.166667 -50.000000 0.4099 0.0000   93.15 0.0 0.0
14 8.333333 -50.000000 0.4391 0.0000   98.17 0.0 0.0
15 12.500000 -50.000000 0.4647 0.0000  103.05 0.0 0.0
16 16.666667 -50.000000 0.4830 0.0000  107.72 0.0 0.0
17 20.833333 -50.000000 0.4910 0.0000  112.17 0.0 0.0
18 25.000000 -50.000000 0.4870 0.0000  116.35 0.0 0.0
19 29.166667 -50.000000 0.4719 0.0000  120.27 0.0 0.0
20 33.333333 -50.000000 0.4483 0.0000  123.94 0.0 0.0
21 37.500000 -50.000000 0.4196 0.0000  127.36 0.0 0.0
22 41.666667 -50.000000 0.3890 0.0000  130.55 0.0 0.0
23 45.833333 -50.000000 0.3587 0.0000  133.52 0.0 0.0
24 50.000000 -50.000000 0.3303 0.0000  136.29 0.0 0.0
0 -50.000000 -45.833333 0.1964 0.0000   40.90 0.0 0.0
1 -45.833333 -45.833333 0.2054 0.0000   43.15 0.0 0.0
2 -41.666667 -45.833333 0.2152 0.0000   45.65 0.0 0.0
3 -37.500000 -45.833333 0.2260 0.0000   48.43 0.0 0.0
4 -33.333333 -45.833333 0.2379 0.0000   51.51 0.0 0.0
5 -29.166667 -45.833333 0.2512 0.0000   54.92 0.0 0.0
6 -25.000000 -45.833333 0.2662 0.0000   58.69 0.0 0.0
7 -20.833333 -45.833333 0.2833 0.0000   62.83 0.0 0.0
8 -16.666667 -45.833333 0.3030 0.0000   67.34 0.0 0.0
9 -12.500000 -45.833333 0.3259 0.0000   72.20 0.0 0.0
10 -8.333333 -45.833333 0.3525 0.0000   77.35 0.0 0.0
11 -4.166667 -45.833333 0.3831 0.0000   82.73 0.0 0.0
12 0.000000 -45.833333 0.4172 0.0000   88.24 0.0 0.0
13 4.166667 -45.833333 0.4534 0.0000   93.76 0.0 0.0
14 8.333333 -45.833333 0.4884 0.0000   99.19 0.0 0.0
15 12.500000 -45.833333 0.5178 0.0000  104.43 0.0 0.0
