   #ID       X         Y         R       EPS       TAU       AMP       DMAG    TIME        DTIME
    S1   -34.644    -0.000    34.644     1.000    33.743    75.718      4.70  -13870.2       0.0
    S1   -28.490    19.748    34.665     0.999    19.187    42.854      4.08  -13923.6     -53.4
    S1   -28.490   -19.748    34.665     0.999    19.187    42.852      4.08  -13923.6     -53.4
    S1    30.366    -0.000    30.366     0.949     3.014     7.453      2.18   -9206.0    4664.2
    S1     0.546     0.000     0.546     0.136     0.137     0.067     -2.93      90.7   13960.9
