#REFERENCE 3 0.000000 0.000000
0 -80.000000 -70.000000 0.3797 0.0000   41.66 0.0 0.0
1 -73.333333 -70.000000 0.3980 0.0000   44.13 0.0 0.0
2 -66.666667 -70.000000 0.4169 0.0000   46.85 0.0 0.0
3 -60.000000 -70.000000 0.4362 0.0000   49.83 0.0 0.0
4 -53.333333 -70.000000 0.4558 0.0000   53.10 0.0 0.0
5 -46.666667 -70.000000 0.4752 0.0000   56.68 0.0 0.0
6 -40.000000 -70.000000 0.4939 0.0000   60.59 0.0 0.0
7 -33.333333 -70.000000 0.5114 0.0000   64.83 0.0 0.0
8 -26.666667 -70.000000 0.5270 0.0000   69.39 0.0 0.0
9 -20.000000 -70.000000 0.5401 0.0000   74.25 0.0 0.0
10 -13.333333 -70.000000 0.5500 0.0000   79.35 0.0 0.0
11 -6.666667 -70.000000 0.5561 0.0000   84.63 0.0 0.0
12 0.000000 -70.000000 0.5582 0.0000    0.00 0.0 0.0
13 6.666667 -70.000000 0.5561 0.0000   95.37 0.0 0.0
14 13.333333 -70.000000 0.5500 0.0000  100.65 0.0 0.0
15 20.000000 -70.000000 0.5401 0.0000  105.75 0.0 0.0
16 26.666667 -70.000000 0.5270 0.0000  110.61 0.0 0.0
17 33.333333 -70.000000 0.5114 0.0000  115.17 0.0 0.0
18 40.000000 -70.000000 0.4939 0.0000  119.41 0.0 0.0
19 46.666667 -70.000000 0.4752 0.0000  123.32 0.0 0.0
20 53.333333 -70.000000 0.4558 0.0000  126.90 0.0 0.0
21 60.000000 -70.000000 0.4362 0.0000  130.17 0.0 0.0
22 66.666667 -70.000000 0.4169 0.0000  133.15 0.0 0.0
23 73.333333 -70.000000 0.3980 0.0000  135.87 0.0 0.0
24 80.000000 -70.000000 0.3797 0.0000  138.34 0.0 0.0
0 -80.000000 -64.166667 0.3961 0.0000   39.19 0.0 0.0
1 -73.333333 -64.166667 0.4168 0.0000   41.63 0.0 0.0
2 -66.666667 -64.166667 0.4384 0.0000   44.34 0.0 0.0
3 -60.000000 -64.166667 0.4608 0.0000   47.34 0.0 0.0
4 -53.333333 -64.166667 0.4838 0.0000   50.66 0.0 0.0
5 -46.666667 -64.166667 0.5068 0.0000   54.34 0.0 0.0
6 -40.000000 -64.166667 0.5293 0.0000   58.39 0.0 0.0
7 -33.333333 -64.166667 0.5506 0.0000   62.84 0.0 0.0
8 -26.666667 -64.166667 0.5698 0.0000   67.68 0.0 0.0
9 -20.000000 -64.166667 0.5860 0.0000   72.88 0.0 0.0
10 -13.333333 -64.166667 0.5983 0.0000   78.39 0.0 0.0
11 -6.666667 -64.166667 0.6061 0.0000   84.14 0.0 0.0
12 0.000000 -64.166667 0.6087 0.0000    0.00 0.0 0.0
13 6.666667 -64.166667 0.6061 0.0000   95.86 0.0 0.0
14 13.333333 -64.166667 0.5983 0.0000  101.61 0.0 0.0
15 20.000000 -64.166667 0.5860 0.0000  107.12 0.0 0.0
16 26.666667 -64.166667 0.5698 0.0000  112.32 0.0 0.0
17 33.333333 -64.166667 0.5506 0.0000  117.16 0.0 0.0
18 40.000000 -64.166667 0.5293 0.0000  121.61 0.0 0.0
19 46.666667 -64.166667 0.5068 0.0000  125.66 0.0 0.0
20 53.333333 -64.166667 0.4838 0.0000  129.34 0.0 0.0
21 60.000000 -64.166667 0.4608 0.0000  132.66 0.0 0.0
22 66.666667 -64.166667 0.4384 0.0000  135.66 0.0 0.0
23 73.333333 -64.166667 0.4168 0.0000  138.37 0.0 0.0
24 80.000000 -64.166667 0.3961 0.0000  140.81 0.0 0.0
0 -80.000000 -58.333333 0.4131 0.0000   36.53 0.0 0.0
1 -73.333333 -58.333333 0.4364 0.0000   38.92 0.0 0.0
2 -66.666667 -58.333333 0.4611 0.0000   41.60 0.0 0.0
3 -60.000000 -58.333333 0.4871 0.0000   44.59 0.0 0.0
4 -53.333333 -58.333333 0.5141 0.0000   47.94 0.0 0.0
5 -46.666667 -58.333333 0.5415 0.0000   51.69 0.0 0.0
6 -40.000000 -58.333333 0.5687 0.0000   55.89 0.0 0.0
7 -33.333333 -58.333333 0.5948 0.0000   60.54 0.0 0.0
8 -26.666667 -58.333333 0.6186 0.0000   65.68 0.0 0.0
9 -20.000000 -58.333333 0.6389 0.0000   71.27 0.0 0.0
10 -13.333333 -58.333333 0.6545 0.0000   77.26 0.0 0.0
11 -6.666667 -58.333333 0.6643 0.0000   83.55 0.0 0.0
12 0.000000 -58.333333 0.6677 0.0000    0.00 0.0 0.0
13 6.666667 -58.333333 0.6643 0.0000   96.45 0.0 0.0
14 13.333333 -58.333333 0.6545 0.0000  102.74 0.0 0.0
15 20.000000 -58.333333 0.6389 0.0000  108.73 0.0 0.0
16 26.666667 -58.333333 0.6186 0.0000  114.32 0.0 0.0
17 33.333333 -58.333333 0.5948 0.0000  119.46 0.0 0.0
18 40.000000 -58.333333 0.5687 0.0000  124.11 0.0 0.0
19 46.666667 -58.333333 0.5415 0.0000  128.31 0.0 0.0
20 53.333333 -58.333333 0.5141 0.0000  132.06 0.0 0.0
21 60.000000 -58.333333 0.4871 0.0000  135.41 0.0 0.0
22 66.666667 -58.333333 0.4611 0.0000  138.40 0.0 0.0
23 73.333333 -58.333333 0.4364 0.0000  141.08 0.0 0.0
24 80.000000 -58.333333 0.4131 0.0000  143.47 0.0 0.0
0 -80.000000 -52.500000 0.4303 0.0000   33.68 0.0 0.0
1 -73.333333 -52.500000 0.4566 0.0000   36.00 0.0 0.0
2 -66.666667 -52.500000 0.4849 0.0000   38.61 0.0 0.0
3 -60.000000 -52.500000 0.5150 0.0000   41.56 0.0 0.0
4 -53.333333 -52.500000 0.5467 0.0000   44.91 0.0 0.0
5 -46.666667 -52.500000 0.5795 0.0000   48.71 0.0 0.0
6 -40.000000 -52.500000 0.6125 0.0000   53.01 0.0 0.0
7 -33.333333 -52.500000 0.6445 0.0000   57.87 0.0 0.0
8 -26.666667 -52.500000 0.6742 0.0000   63.31 0.0 0.0
9 -20.000000 -52.500000 0.6998 0.0000   69.33 0.0 0.0
10 -13.333333 -52.500000 0.7196 0.0000   75.88 0.0 0.0
11 -6.666667 -52.500000 0.7322 0.0000   82.83 0.0 0.0
12 0.000000 -52.500000 0.7365 0.0000    0.00 0.0 0.0
13 6.666667 -52.500000 0.7322 0.0000   97.17 0.0 0.0
14 13.333333 -52.500000 0.7196 0.0000  104.12 0.0 0.0
15 20.000000 -52.500000 0.6998 0.0000  110.67 0.0 0.0
16 26.666667 -52.500000 0.6742 0.0000  116.69 0.0 0.0
17 33.333333 -52.500000 0.6445 0.0000  122.13 0.0 0.0
18 40.000000 -52.500000 0.6125 0.0000  126.99 0.0 0.0
19 46.666667 -52.500000 0.5795 0.0000  131.29 0.0 0.0
20 53.333333 -52.500000 0.5467 0.0000  135.09 0.0 0.0
21 60.000000 -52.500000 0.5150 0.0000  138.44 0.0 0.0
22 66.666667 -52.500000 0.4849 0.0000  141.39 0.0 0.0
23 73.333333 -52.500000 0.4566 0.0000  144.00 0.0 0.0
24 80.000000 -52.500000 0.4303 0.0000  146.32 0.0 0.0
0 -80.000000 -46.666667 0.4476 0.0000   30.63 0.0 0.0
1 -73.333333 -46.666667 0.4772 0.0000   32.84 0.0 0.0
2 -66.666667 -46.666667 0.5094 0.0000   35.35 0.0 0.0
3 -60.000000 -46.666667 0.5442 0.0000   38.23 0.0 0.0
4 -53.333333 -46.666667 0.5814 0.0000   41.52 0.0 0.0
5 -46.666667 -46.666667 0.6205 0.0000   45.32 0.0 0.0
